,Año,Day,Tiempo,PRN,S4,Az,Elv
125,21,095,714,14,0.12,147.4,30.2
126,21,095,714,17,0.11,75.6,28.3
127,21,095,714,19,0.1,50.8,30.7
128,21,095,714,24,0.16,252.6,16.2
129,21,095,714,28,0.07,146.9,38.3
130,21,095,774,2,0.15,344.3,19.8
131,21,095,774,5,0.06,255.2,63.6
132,21,095,774,6,0.28,19.0,10.1
133,21,095,774,12,0.14,323.5,22.1
134,21,095,774,13,0.09,184.0,31.2
135,21,095,774,14,0.13,147.5,29.8
136,21,095,774,17,0.09,76.2,28.4
137,21,095,774,19,0.08,51.3,30.8
138,21,095,774,24,0.17,252.1,16.2
139,21,095,774,28,0.08,147.1,37.8
140,21,095,834,2,0.12,344.7,19.7
141,21,095,834,5,0.05,256.3,63.8
142,21,095,834,6,0.23,19.3,10.0
143,21,095,834,12,0.14,323.3,22.5
144,21,095,834,13,0.11,183.6,31.5
145,21,095,834,14,0.1,147.6,29.4
146,21,095,834,15,0.19,212.1,12.2
147,21,095,834,17,0.08,76.7,28.4
148,21,095,834,19,0.1,51.8,31.0
149,21,095,834,24,0.22,251.7,16.2
150,21,095,834,28,0.08,147.3,37.4
151,21,095,894,2,0.11,345.1,19.6
152,21,095,894,5,0.06,257.5,64.0
153,21,095,894,12,0.18,323.1,22.9
154,21,095,894,13,0.12,183.2,31.7
155,21,095,894,14,0.12,147.7,29.0
156,21,095,894,15,0.28,211.9,12.5
157,21,095,894,17,0.09,77.2,28.5
158,21,095,894,19,0.11,52.3,31.2
159,21,095,894,24,0.19,251.2,16.3
160,21,095,894,28,0.1,147.5,36.9
161,21,095,954,2,0.1,345.5,19.5
162,21,095,954,5,0.06,258.7,64.1
163,21,095,954,12,0.15,322.9,23.3
164,21,095,954,13,0.14,182.8,32.0
165,21,095,954,14,0.1,147.8,28.6
166,21,095,954,15,0.3,211.7,12.8
167,21,095,954,17,0.09,77.8,28.6
168,21,095,954,19,0.08,52.9,31.4
169,21,095,954,24,0.19,250.8,16.3
170,21,095,954,28,0.12,147.7,36.5
171,21,095,1014,2,0.13,345.9,19.3
172,21,095,1014,5,0.05,259.8,64.2
173,21,095,1014,12,0.15,322.7,23.7
174,21,095,1014,13,0.13,182.4,32.3
175,21,095,1014,14,0.13,147.9,28.2
176,21,095,1014,15,0.19,211.4,13.1
177,21,095,1014,17,0.08,78.3,28.6
178,21,095,1014,19,0.09,53.4,31.5
179,21,095,1014,24,0.2,250.3,16.4
180,21,095,1014,28,0.08,147.8,36.0
181,21,095,1074,2,0.13,346.3,19.2
182,21,095,1074,5,0.05,261.0,64.4
183,21,095,1074,12,0.1,322.5,24.1
184,21,095,1074,13,0.12,182.0,32.5
185,21,095,1074,14,0.1,148.0,27.7
186,21,095,1074,15,0.19,211.2,13.4
